original_id 	 sent1 	 sent2 	 keyword_before 	 relation 1to2 	 pattern 	 original_label 	 original_genre 	 consistent 	 formula 	 start_ends 	 new_label 
4	several *someone* got the results published in major national newspapers	several delegates got the results published.	delegates	ent_r	[('Hyper > ', 'delegates+', '*'), (['in+', 'major+', 'national+', 'newspapers+'], 'INS')]	entailment	paper:FraCaS_GQ:upward_monotone	True	['ent_r*', 'ent_f']->['ent_r', 'ent_f']	[([1], [1]), ([5, 6, 7, 8, 9], [5])]	neutral
4	several delegates got the results published in major national newspapers.	several *someone* got the results published	delegates	ent_f	[('delegates+', ' < Hyper', '*'), (['in+', 'major+', 'national+', 'newspapers+'], 'INS')]	entailment	paper:FraCaS_GQ:upward_monotone	True	['ent_f*', 'ent_f']->['ent_f', 'ent_f']	[([1], [1]), ([5, 6, 7, 8, 9], [5])]	entailment
5	both *individuals* used to be leading businessmen	both commissioners used to be businessmen.	commissioners	ent_r	[('Hyper > ', 'commissioners', '*'), (['leading+'], 'INS')]	entailment	paper:FraCaS_GQ:upward_monotone	True	['ent_r*', 'ent_f']->['ind', 'ent_f']	[([1], [1]), ([2, 5], [2])]	neutral
5	both commissioners used to be leading businessmen.	both *individuals* used to be businessmen	commissioners	ent_f	[('commissioners', ' < Hyper', '*'), (['leading+'], 'INS')]	entailment	paper:FraCaS_GQ:upward_monotone	True	['ent_f*', 'ent_f']->['ind', 'ent_f']	[([1], [1]), ([2, 5], [2])]	neutral
5	both *somebody* used to be leading businessmen	both commissioners used to be businessmen.	commissioners	ent_r	[('Hyper > ', 'commissioners', '*'), (['leading+'], 'INS')]	entailment	paper:FraCaS_GQ:upward_monotone	True	['ent_r*', 'ent_f']->['ind', 'ent_f']	[([1], [1]), ([2, 5], [2])]	neutral
5	both commissioners used to be leading businessmen.	both *somebody* used to be businessmen	commissioners	ent_f	[('commissioners', ' < Hyper', '*'), (['leading+'], 'INS')]	entailment	paper:FraCaS_GQ:upward_monotone	True	['ent_f*', 'ent_f']->['ind', 'ent_f']	[([1], [1]), ([2, 5], [2])]	neutral
5	both *people* used to be leading businessmen	both commissioners used to be businessmen.	commissioners	ent_r	[('Hyper > ', 'commissioners', '*'), (['leading+'], 'INS')]	entailment	paper:FraCaS_GQ:upward_monotone	True	['ent_r*', 'ent_f']->['ind', 'ent_f']	[([1], [1]), ([2, 5], [2])]	neutral
5	both commissioners used to be leading businessmen.	both *people* used to be businessmen	commissioners	ent_f	[('commissioners', ' < Hyper', '*'), (['leading+'], 'INS')]	entailment	paper:FraCaS_GQ:upward_monotone	True	['ent_f*', 'ent_f']->['ind', 'ent_f']	[([1], [1]), ([2, 5], [2])]	neutral
5	both *someone* used to be leading businessmen	both commissioners used to be businessmen.	commissioners	ent_r	[('Hyper > ', 'commissioners', '*'), (['leading+'], 'INS')]	entailment	paper:FraCaS_GQ:upward_monotone	True	['ent_r*', 'ent_f']->['ind', 'ent_f']	[([1], [1]), ([2, 5], [2])]	neutral
5	both commissioners used to be leading businessmen.	both *someone* used to be businessmen	commissioners	ent_f	[('commissioners', ' < Hyper', '*'), (['leading+'], 'INS')]	entailment	paper:FraCaS_GQ:upward_monotone	True	['ent_f*', 'ent_f']->['ind', 'ent_f']	[([1], [1]), ([2, 5], [2])]	neutral
7	at least three *individuals* spend a lot of time at home	at least three commissioners spend time at home.	commissioners	ent_r	[('Hyper > ', 'commissioners+', '*'), (['a+', 'lot+', 'of+'], 'INS')]	entailment	paper:FraCaS_GQ:upward_monotone	True	['ent_r*', 'ent_f']->['ent_r', 'ent_f']	[([3], [3]), ([4, 5, 6, 7], [4])]	neutral
7	at least three commissioners spend a lot of time at home.	at least three *individuals* spend time at home	commissioners	ent_f	[('commissioners+', ' < Hyper', '*'), (['a+', 'lot+', 'of+'], 'INS')]	entailment	paper:FraCaS_GQ:upward_monotone	True	['ent_f*', 'ent_f']->['ent_f', 'ent_f']	[([3], [3]), ([4, 5, 6, 7], [4])]	entailment
7	at least three *somebody* spend a lot of time at home	at least three commissioners spend time at home.	commissioners	ent_r	[('Hyper > ', 'commissioners+', '*'), (['a+', 'lot+', 'of+'], 'INS')]	entailment	paper:FraCaS_GQ:upward_monotone	True	['ent_r*', 'ent_f']->['ent_r', 'ent_f']	[([3], [3]), ([4, 5, 6, 7], [4])]	neutral
7	at least three commissioners spend a lot of time at home.	at least three *somebody* spend time at home	commissioners	ent_f	[('commissioners+', ' < Hyper', '*'), (['a+', 'lot+', 'of+'], 'INS')]	entailment	paper:FraCaS_GQ:upward_monotone	True	['ent_f*', 'ent_f']->['ent_f', 'ent_f']	[([3], [3]), ([4, 5, 6, 7], [4])]	entailment
7	at least three *people* spend a lot of time at home	at least three commissioners spend time at home.	commissioners	ent_r	[('Hyper > ', 'commissioners+', '*'), (['a+', 'lot+', 'of+'], 'INS')]	entailment	paper:FraCaS_GQ:upward_monotone	True	['ent_r*', 'ent_f']->['ent_r', 'ent_f']	[([3], [3]), ([4, 5, 6, 7], [4])]	neutral
7	at least three commissioners spend a lot of time at home.	at least three *people* spend time at home	commissioners	ent_f	[('commissioners+', ' < Hyper', '*'), (['a+', 'lot+', 'of+'], 'INS')]	entailment	paper:FraCaS_GQ:upward_monotone	True	['ent_f*', 'ent_f']->['ent_f', 'ent_f']	[([3], [3]), ([4, 5, 6, 7], [4])]	entailment
7	at least three *someone* spend a lot of time at home	at least three commissioners spend time at home.	commissioners	ent_r	[('Hyper > ', 'commissioners+', '*'), (['a+', 'lot+', 'of+'], 'INS')]	entailment	paper:FraCaS_GQ:upward_monotone	True	['ent_r*', 'ent_f']->['ent_r', 'ent_f']	[([3], [3]), ([4, 5, 6, 7], [4])]	neutral
7	at least three commissioners spend a lot of time at home.	at least three *someone* spend time at home	commissioners	ent_f	[('commissioners+', ' < Hyper', '*'), (['a+', 'lot+', 'of+'], 'INS')]	entailment	paper:FraCaS_GQ:upward_monotone	True	['ent_f*', 'ent_f']->['ent_f', 'ent_f']	[([3], [3]), ([4, 5, 6, 7], [4])]	entailment
8	at most ten *individuals* spend a lot of time at home	at most ten commissioners spend time at home.	commissioners	ent_r	[('Hyper > ', 'commissioners', '*'), (['a+', 'lot+', 'of+'], 'INS')]	neutral	paper:FraCaS_GQ:downward_monotone	True	['ent_r*', 'ent_f']->['ind', 'ent_r']	[([3], [3]), ([4, 5, 6, 7], [4])]	neutral
8	at most ten commissioners spend a lot of time at home.	at most ten *individuals* spend time at home	commissioners	ent_f	[('commissioners', ' < Hyper', '*'), (['a+', 'lot+', 'of+'], 'INS')]	neutral	paper:FraCaS_GQ:downward_monotone	True	['ent_f*', 'ent_f']->['ind', 'ent_r']	[([3], [3]), ([4, 5, 6, 7], [4])]	neutral
8	at most ten *somebody* spend a lot of time at home	at most ten commissioners spend time at home.	commissioners	ent_r	[('Hyper > ', 'commissioners', '*'), (['a+', 'lot+', 'of+'], 'INS')]	neutral	paper:FraCaS_GQ:downward_monotone	True	['ent_r*', 'ent_f']->['ind', 'ent_r']	[([3], [3]), ([4, 5, 6, 7], [4])]	neutral
8	at most ten commissioners spend a lot of time at home.	at most ten *somebody* spend time at home	commissioners	ent_f	[('commissioners', ' < Hyper', '*'), (['a+', 'lot+', 'of+'], 'INS')]	neutral	paper:FraCaS_GQ:downward_monotone	True	['ent_f*', 'ent_f']->['ind', 'ent_r']	[([3], [3]), ([4, 5, 6, 7], [4])]	neutral
8	at most ten *people* spend a lot of time at home	at most ten commissioners spend time at home.	commissioners	ent_r	[('Hyper > ', 'commissioners', '*'), (['a+', 'lot+', 'of+'], 'INS')]	neutral	paper:FraCaS_GQ:downward_monotone	True	['ent_r*', 'ent_f']->['ind', 'ent_r']	[([3], [3]), ([4, 5, 6, 7], [4])]	neutral
8	at most ten commissioners spend a lot of time at home.	at most ten *people* spend time at home	commissioners	ent_f	[('commissioners', ' < Hyper', '*'), (['a+', 'lot+', 'of+'], 'INS')]	neutral	paper:FraCaS_GQ:downward_monotone	True	['ent_f*', 'ent_f']->['ind', 'ent_r']	[([3], [3]), ([4, 5, 6, 7], [4])]	neutral
8	at most ten *someone* spend a lot of time at home	at most ten commissioners spend time at home.	commissioners	ent_r	[('Hyper > ', 'commissioners', '*'), (['a+', 'lot+', 'of+'], 'INS')]	neutral	paper:FraCaS_GQ:downward_monotone	True	['ent_r*', 'ent_f']->['ind', 'ent_r']	[([3], [3]), ([4, 5, 6, 7], [4])]	neutral
8	at most ten commissioners spend a lot of time at home.	at most ten *someone* spend time at home	commissioners	ent_f	[('commissioners', ' < Hyper', '*'), (['a+', 'lot+', 'of+'], 'INS')]	neutral	paper:FraCaS_GQ:downward_monotone	True	['ent_f*', 'ent_f']->['ind', 'ent_r']	[([3], [3]), ([4, 5, 6, 7], [4])]	neutral
10	some *individuals* finished the survey	some delegates finished the survey on time.	delegates	ent_r	[('Hyper > ', 'delegates+', '*'), ('INS', ['on+', 'time+'])]	neutral	paper:FraCaS_GQ:upward_monotone	True	['ent_r*', 'ent_r']->['ent_r', 'ent_r']	[([1], [1]), ([2], [2, 5, 6])]	neutral
10	some delegates finished the survey.	some *individuals* finished the survey on time	delegates	ent_f	[('delegates+', ' < Hyper', '*'), ('INS', ['on+', 'time+'])]	neutral	paper:FraCaS_GQ:upward_monotone	True	['ent_f*', 'ent_r']->['ent_f', 'ent_r']	[([1], [1]), ([2], [2, 5, 6])]	neutral
10	some *somebody* finished the survey	some delegates finished the survey on time.	delegates	ent_r	[('Hyper > ', 'delegates+', '*'), ('INS', ['on+', 'time+'])]	neutral	paper:FraCaS_GQ:upward_monotone	True	['ent_r*', 'ent_r']->['ent_r', 'ent_r']	[([1], [1]), ([2], [2, 5, 6])]	neutral
10	some delegates finished the survey.	some *somebody* finished the survey on time	delegates	ent_f	[('delegates+', ' < Hyper', '*'), ('INS', ['on+', 'time+'])]	neutral	paper:FraCaS_GQ:upward_monotone	True	['ent_f*', 'ent_r']->['ent_f', 'ent_r']	[([1], [1]), ([2], [2, 5, 6])]	neutral
10	some *people* finished the survey	some delegates finished the survey on time.	delegates	ent_r	[('Hyper > ', 'delegates+', '*'), ('INS', ['on+', 'time+'])]	neutral	paper:FraCaS_GQ:upward_monotone	True	['ent_r*', 'ent_r']->['ent_r', 'ent_r']	[([1], [1]), ([2], [2, 5, 6])]	neutral
10	some delegates finished the survey.	some *people* finished the survey on time	delegates	ent_f	[('delegates+', ' < Hyper', '*'), ('INS', ['on+', 'time+'])]	neutral	paper:FraCaS_GQ:upward_monotone	True	['ent_f*', 'ent_r']->['ent_f', 'ent_r']	[([1], [1]), ([2], [2, 5, 6])]	neutral
10	some *someone* finished the survey	some delegates finished the survey on time.	delegates	ent_r	[('Hyper > ', 'delegates+', '*'), ('INS', ['on+', 'time+'])]	neutral	paper:FraCaS_GQ:upward_monotone	True	['ent_r*', 'ent_r']->['ent_r', 'ent_r']	[([1], [1]), ([2], [2, 5, 6])]	neutral
10	some delegates finished the survey.	some *someone* finished the survey on time	delegates	ent_f	[('delegates+', ' < Hyper', '*'), ('INS', ['on+', 'time+'])]	neutral	paper:FraCaS_GQ:upward_monotone	True	['ent_f*', 'ent_r']->['ent_f', 'ent_r']	[([1], [1]), ([2], [2, 5, 6])]	neutral
11	many *individuals* obtained results from the survey	many delegates obtained interesting results from the survey.	delegates	ent_r	[('Hyper > ', 'delegates', '*'), ('INS', ['interesting+'])]	neutral	paper:FraCaS_GQ:upward_monotone	True	['ent_r*', 'ent_r']->['ind', 'ent_r']	[([1], [1]), ([3], [3, 4])]	neutral
11	many delegates obtained results from the survey.	many *individuals* obtained interesting results from the survey	delegates	ent_f	[('delegates', ' < Hyper', '*'), ('INS', ['interesting+'])]	neutral	paper:FraCaS_GQ:upward_monotone	True	['ent_f*', 'ent_r']->['ind', 'ent_r']	[([1], [1]), ([3], [3, 4])]	neutral
11	many *somebody* obtained results from the survey	many delegates obtained interesting results from the survey.	delegates	ent_r	[('Hyper > ', 'delegates', '*'), ('INS', ['interesting+'])]	neutral	paper:FraCaS_GQ:upward_monotone	True	['ent_r*', 'ent_r']->['ind', 'ent_r']	[([1], [1]), ([3], [3, 4])]	neutral
11	many delegates obtained results from the survey.	many *somebody* obtained interesting results from the survey	delegates	ent_f	[('delegates', ' < Hyper', '*'), ('INS', ['interesting+'])]	neutral	paper:FraCaS_GQ:upward_monotone	True	['ent_f*', 'ent_r']->['ind', 'ent_r']	[([1], [1]), ([3], [3, 4])]	neutral
11	many *people* obtained results from the survey	many delegates obtained interesting results from the survey.	delegates	ent_r	[('Hyper > ', 'delegates', '*'), ('INS', ['interesting+'])]	neutral	paper:FraCaS_GQ:upward_monotone	True	['ent_r*', 'ent_r']->['ind', 'ent_r']	[([1], [1]), ([3], [3, 4])]	neutral
11	many delegates obtained results from the survey.	many *people* obtained interesting results from the survey	delegates	ent_f	[('delegates', ' < Hyper', '*'), ('INS', ['interesting+'])]	neutral	paper:FraCaS_GQ:upward_monotone	True	['ent_f*', 'ent_r']->['ind', 'ent_r']	[([1], [1]), ([3], [3, 4])]	neutral
11	many *someone* obtained results from the survey	many delegates obtained interesting results from the survey.	delegates	ent_r	[('Hyper > ', 'delegates', '*'), ('INS', ['interesting+'])]	neutral	paper:FraCaS_GQ:upward_monotone	True	['ent_r*', 'ent_r']->['ind', 'ent_r']	[([1], [1]), ([3], [3, 4])]	neutral
11	many delegates obtained results from the survey.	many *someone* obtained interesting results from the survey	delegates	ent_f	[('delegates', ' < Hyper', '*'), ('INS', ['interesting+'])]	neutral	paper:FraCaS_GQ:upward_monotone	True	['ent_f*', 'ent_r']->['ind', 'ent_r']	[([1], [1]), ([3], [3, 4])]	neutral
12	several *individuals* got the results published	several delegates got the results published in major national newspapers.	delegates	ent_r	[('Hyper > ', 'delegates+', '*'), ('INS', ['in+', 'major+', 'national+', 'newspapers+'])]	neutral	paper:FraCaS_GQ:downward_monotone	False	['ent_r*', 'ent_r']->['ent_r', 'ent_f']	[([1], [1]), ([5], [5, 6, 7, 8, 9])]	neutral
12	several delegates got the results published.	several *individuals* got the results published in major national newspapers	delegates	ent_f	[('delegates+', ' < Hyper', '*'), ('INS', ['in+', 'major+', 'national+', 'newspapers+'])]	neutral	paper:FraCaS_GQ:downward_monotone	False	['ent_f*', 'ent_r']->['ent_f', 'ent_f']	[([1], [1]), ([5], [5, 6, 7, 8, 9])]	entailment
12	several *somebody* got the results published	several delegates got the results published in major national newspapers.	delegates	ent_r	[('Hyper > ', 'delegates+', '*'), ('INS', ['in+', 'major+', 'national+', 'newspapers+'])]	neutral	paper:FraCaS_GQ:downward_monotone	False	['ent_r*', 'ent_r']->['ent_r', 'ent_f']	[([1], [1]), ([5], [5, 6, 7, 8, 9])]	neutral
12	several delegates got the results published.	several *somebody* got the results published in major national newspapers	delegates	ent_f	[('delegates+', ' < Hyper', '*'), ('INS', ['in+', 'major+', 'national+', 'newspapers+'])]	neutral	paper:FraCaS_GQ:downward_monotone	False	['ent_f*', 'ent_r']->['ent_f', 'ent_f']	[([1], [1]), ([5], [5, 6, 7, 8, 9])]	entailment
12	several *people* got the results published	several delegates got the results published in major national newspapers.	delegates	ent_r	[('Hyper > ', 'delegates+', '*'), ('INS', ['in+', 'major+', 'national+', 'newspapers+'])]	neutral	paper:FraCaS_GQ:downward_monotone	False	['ent_r*', 'ent_r']->['ent_r', 'ent_f']	[([1], [1]), ([5], [5, 6, 7, 8, 9])]	neutral
12	several delegates got the results published.	several *people* got the results published in major national newspapers	delegates	ent_f	[('delegates+', ' < Hyper', '*'), ('INS', ['in+', 'major+', 'national+', 'newspapers+'])]	neutral	paper:FraCaS_GQ:downward_monotone	False	['ent_f*', 'ent_r']->['ent_f', 'ent_f']	[([1], [1]), ([5], [5, 6, 7, 8, 9])]	entailment
12	several *someone* got the results published	several delegates got the results published in major national newspapers.	delegates	ent_r	[('Hyper > ', 'delegates+', '*'), ('INS', ['in+', 'major+', 'national+', 'newspapers+'])]	neutral	paper:FraCaS_GQ:downward_monotone	False	['ent_r*', 'ent_r']->['ent_r', 'ent_f']	[([1], [1]), ([5], [5, 6, 7, 8, 9])]	neutral
12	several delegates got the results published.	several *someone* got the results published in major national newspapers	delegates	ent_f	[('delegates+', ' < Hyper', '*'), ('INS', ['in+', 'major+', 'national+', 'newspapers+'])]	neutral	paper:FraCaS_GQ:downward_monotone	False	['ent_f*', 'ent_r']->['ent_f', 'ent_f']	[([1], [1]), ([5], [5, 6, 7, 8, 9])]	entailment
13	both *individuals* used to be businessmen	both commissioners used to be leading businessmen.	commissioners	ent_r	[('Hyper > ', 'commissioners', '*'), ('INS', ['leading+'])]	neutral	paper:FraCaS_GQ:upward_monotone	True	['ent_r*', 'ent_r']->['ind', 'ent_r']	[([1], [1]), ([2], [2, 5])]	neutral
13	both commissioners used to be businessmen.	both *individuals* used to be leading businessmen	commissioners	ent_f	[('commissioners', ' < Hyper', '*'), ('INS', ['leading+'])]	neutral	paper:FraCaS_GQ:upward_monotone	True	['ent_f*', 'ent_r']->['ind', 'ent_r']	[([1], [1]), ([2], [2, 5])]	neutral
13	both *somebody* used to be businessmen	both commissioners used to be leading businessmen.	commissioners	ent_r	[('Hyper > ', 'commissioners', '*'), ('INS', ['leading+'])]	neutral	paper:FraCaS_GQ:upward_monotone	True	['ent_r*', 'ent_r']->['ind', 'ent_r']	[([1], [1]), ([2], [2, 5])]	neutral
13	both commissioners used to be businessmen.	both *somebody* used to be leading businessmen	commissioners	ent_f	[('commissioners', ' < Hyper', '*'), ('INS', ['leading+'])]	neutral	paper:FraCaS_GQ:upward_monotone	True	['ent_f*', 'ent_r']->['ind', 'ent_r']	[([1], [1]), ([2], [2, 5])]	neutral
13	both *people* used to be businessmen	both commissioners used to be leading businessmen.	commissioners	ent_r	[('Hyper > ', 'commissioners', '*'), ('INS', ['leading+'])]	neutral	paper:FraCaS_GQ:upward_monotone	True	['ent_r*', 'ent_r']->['ind', 'ent_r']	[([1], [1]), ([2], [2, 5])]	neutral
